order_id,product_id,supplier_id,order_date,quantity,expected_delivery,actual_delivery,status,unit_price
ORD0081,P005,S013,2026-01-18,49,2026-01-25,2026-02-01,DELAYED,10648.34
ORD0082,P004,S011,2026-01-13,204,2026-01-17,,SHIPPED,19128.36
ORD0083,P008,S022,2025-06-12,111,2025-06-17,2025-06-17,DELIVERED,956.41
ORD0084,P008,S024,2025-05-19,225,2025-05-25,2025-05-24,DELIVERED,962.08
ORD0085,P015,S045,2026-01-03,166,2026-01-12,2026-01-12,DELIVERED,3693.04
ORD0086,P020,S060,2026-06-28,286,2026-07-06,2026-07-06,DELIVERED,5177.5
ORD0087,P002,S005,2026-08-12,60,2026-08-20,2026-08-20,DELIVERED,56864.99
ORD0088,P005,S015,2025-08-02,179,2025-08-06,2025-08-09,DELAYED,10293.92
ORD0089,P020,S058,2025-02-08,234,2025-02-12,2025-02-13,DELIVERED,5380.58
ORD0090,P009,S026,2025-12-06,227,2025-12-11,,SHIPPED,5371.77
ORD0091,P005,S014,2026-03-25,281,2026-03-28,,IN_TRANSIT,10525.09
ORD0092,P016,S047,2025-07-21,31,2025-07-25,2025-07-25,DELIVERED,7383.78
ORD0093,P019,S055,2025-10-25,169,2025-10-30,,SHIPPED,2611.87
ORD0094,P015,S045,2025-03-23,157,2025-04-01,,IN_TRANSIT,3693.04
ORD0095,P016,S047,2025-08-28,125,2025-09-01,,PENDING,7383.78
ORD0096,P019,S055,2025-02-19,98,2025-02-24,2025-02-24,DELIVERED,2611.87
ORD0097,P015,S044,2025-02-10,77,2025-02-14,2025-02-17,DELAYED,3790.06
ORD0098,P006,S018,2026-05-13,154,2026-05-17,2026-05-17,DELIVERED,4095.0
ORD0099,P004,S011,2026-03-24,167,2026-03-28,,PENDING,19128.36
ORD0100,P016,S046,2025-10-02,143,2025-10-07,2025-10-06,DELIVERED,7414.89
ORD0101,P018,S053,2026-06-28,76,2026-07-01,,IN_TRANSIT,2125.76
ORD0102,P015,S045,2026-03-16,210,2026-03-25,2026-03-25,DELIVERED,3693.04
ORD0103,P002,S004,2025-05-26,69,2025-05-31,2025-06-05,DELAYED,56077.74
ORD0104,P009,S027,2025-12-15,91,2025-12-23,2025-12-24,DELIVERED,5324.37
ORD0105,P010,S030,2025-04-30,206,2025-05-04,2025-05-04,DELIVERED,3043.46
ORD0106,P014,S041,2025-09-09,281,2025-09-15,,IN_TRANSIT,4177.53
ORD0107,P003,S008,2026-07-20,33,2026-07-26,2026-07-30,DELAYED,53109.89
ORD0108,P010,S030,2025-01-09,134,2025-01-13,2025-01-13,DELIVERED,3043.46
ORD0109,P005,S014,2026-01-03,133,2026-01-06,,IN_TRANSIT,10525.09
ORD0110,P011,S032,2025-12-04,204,2025-12-12,2025-12-13,DELIVERED,6623.11
ORD0111,P015,S045,2025-07-05,25,2025-07-14,,IN_TRANSIT,3693.04
ORD0112,P014,S042,2025-01-17,21,2025-01-25,,PENDING,4070.82
ORD0113,P014,S042,2025-10-28,91,2025-11-05,2025-11-06,DELIVERED,4070.82
ORD0114,P006,S016,2025-05-26,205,2025-05-31,2025-06-05,DELAYED,4294.61
ORD0115,P008,S022,2026-03-01,257,2026-03-06,2026-03-06,DELIVERED,956.41
ORD0116,P003,S008,2025-02-13,219,2025-02-19,2025-02-18,DELIVERED,53109.89
ORD0117,P003,S008,2025-08-27,22,2025-09-02,2025-09-02,DELIVERED,53109.89
ORD0118,P006,S018,2025-08-05,101,2025-08-09,2025-08-09,DELIVERED,4095.0
ORD0119,P010,S030,2025-08-18,121,2025-08-22,,SHIPPED,3043.46
ORD0120,P009,S027,2025-11-23,126,2025-12-01,,IN_TRANSIT,5324.37
ORD0121,P011,S032,2026-02-13,39,2026-02-21,2026-02-21,DELIVERED,6623.11
ORD0122,P016,S048,2025-11-16,71,2025-11-23,2025-11-22,DELIVERED,7081.66
ORD0123,P013,S038,2025-08-14,280,2025-08-19,2025-08-19,DELIVERED,7565.69
ORD0124,P011,S032,2026-08-21,215,2026-08-29,2026-08-29,DELIVERED,6623.11
ORD0125,P008,S024,2026-05-15,93,2026-05-21,2026-05-22,DELIVERED,962.08
ORD0126,P009,S026,2025-08-12,238,2025-08-17,2025-08-18,DELIVERED,5371.77
ORD0127,P019,S057,2026-01-25,47,2026-01-28,,SHIPPED,2566.54
ORD0128,P019,S055,2025-07-14,60,2025-07-19,2025-07-19,DELIVERED,2611.87
ORD0129,P004,S010,2025-12-28,35,2026-01-05,,SHIPPED,18600.17
ORD0130,P003,S009,2025-03-03,291,2025-03-11,2025-03-11,DELIVERED,52407.86
ORD0131,P012,S036,2025-07-24,194,2025-07-30,2025-08-06,DELAYED,1401.38
ORD0132,P018,S053,2026-01-06,52,2026-01-09,,IN_TRANSIT,2125.76
ORD0133,P007,S021,2025-06-08,51,2025-06-11,2025-06-14,DELAYED,1845.5
ORD0134,P018,S053,2025-08-22,210,2025-08-25,2025-08-25,DELIVERED,2125.76
ORD0135,P005,S014,2025-10-09,189,2025-10-12,2025-10-11,DELIVERED,10525.09
ORD0136,P011,S033,2025-06-24,292,2025-07-02,2025-07-01,DELIVERED,6977.28
ORD0137,P014,S040,2025-09-27,289,2025-10-01,,IN_TRANSIT,4290.4
ORD0138,P004,S012,2025-11-18,248,2025-11-23,,PENDING,18675.71
ORD0139,P015,S043,2026-08-19,128,2026-08-27,,PENDING,3717.96
ORD0140,P006,S018,2025-10-02,226,2025-10-06,2025-10-13,DELAYED,4095.0
ORD0141,P013,S038,2025-09-30,107,2025-10-05,2025-10-11,DELAYED,7565.69
ORD0142,P014,S040,2025-07-25,290,2025-07-29,2025-08-05,DELAYED,4290.4
ORD0143,P019,S055,2026-08-15,230,2026-08-20,2026-08-22,DELAYED,2611.87
ORD0144,P004,S011,2025-07-09,235,2025-07-13,,IN_TRANSIT,19128.36
ORD0145,P019,S055,2025-07-17,47,2025-07-22,2025-07-22,DELIVERED,2611.87
ORD0146,P010,S030,2026-04-02,226,2026-04-06,2026-04-06,DELIVERED,3043.46
ORD0147,P010,S029,2025-10-06,177,2025-10-11,2025-10-12,DELIVERED,2995.73
ORD0148,P006,S016,2026-07-08,66,2026-07-13,2026-07-16,DELAYED,4294.61
ORD0149,P005,S015,2025-12-12,206,2025-12-16,2025-12-16,DELIVERED,10293.92
ORD0150,P013,S037,2026-02-09,53,2026-02-13,,SHIPPED,7913.48
ORD0151,P018,S053,2025-07-06,244,2025-07-09,2025-07-10,DELIVERED,2125.76
ORD0152,P015,S043,2025-07-09,77,2025-07-17,2025-07-17,DELIVERED,3717.96
ORD0153,P020,S060,2025-01-23,221,2025-01-31,,IN_TRANSIT,5177.5
ORD0154,P001,S001,2025-06-22,86,2025-06-27,2025-07-02,DELAYED,62605.11
ORD0155,P008,S022,2025-03-17,230,2025-03-22,,IN_TRANSIT,956.41
ORD0156,P002,S006,2025-04-30,112,2025-05-06,2025-05-05,DELIVERED,58804.45
ORD0157,P010,S029,2025-01-11,126,2025-01-16,2025-01-15,DELIVERED,2995.73
ORD0158,P016,S048,2026-03-04,22,2026-03-11,,PENDING,7081.66
ORD0159,P020,S060,2026-05-15,78,2026-05-23,2026-05-23,DELIVERED,5177.5
ORD0160,P016,S046,2026-05-07,130,2026-05-12,2026-05-17,DELAYED,7414.89
ORD0161,P010,S029,2025-01-23,154,2025-01-28,,SHIPPED,2995.73
ORD0162,P001,S003,2025-10-06,97,2025-10-11,2025-10-12,DELIVERED,61661.14
ORD0163,P014,S040,2026-02-18,172,2026-02-22,,SHIPPED,4290.4
ORD0164,P017,S051,2026-03-05,116,2026-03-12,,IN_TRANSIT,4224.75
ORD0165,P019,S055,2025-10-02,147,2025-10-07,2025-10-06,DELIVERED,2611.87
ORD0166,P005,S015,2025-05-13,218,2025-05-17,2025-05-21,DELAYED,10293.92
ORD0167,P004,S011,2025-11-29,144,2025-12-03,,PENDING,19128.36
ORD0168,P011,S032,2025-09-15,121,2025-09-23,2025-09-24,DELIVERED,6623.11
ORD0169,P016,S046,2025-01-14,197,2025-01-19,2025-01-20,DELIVERED,7414.89
ORD0170,P018,S054,2025-06-16,95,2025-06-22,2025-06-22,DELIVERED,2062.69
ORD0171,P005,S014,2026-01-19,133,2026-01-22,2026-01-22,DELIVERED,10525.09
ORD0172,P009,S026,2025-01-09,286,2025-01-14,2025-01-13,DELIVERED,5371.77
ORD0173,P016,S048,2025-10-29,121,2025-11-05,2025-11-08,DELAYED,7081.66
ORD0174,P009,S027,2025-03-23,228,2025-03-31,2025-03-31,DELIVERED,5324.37
ORD0175,P005,S013,2025-11-25,88,2025-12-02,2025-12-07,DELAYED,10648.34
ORD0176,P009,S026,2025-11-12,33,2025-11-17,2025-11-18,DELIVERED,5371.77
ORD0177,P004,S012,2025-07-21,127,2025-07-26,2025-07-26,DELIVERED,18675.71
ORD0178,P016,S047,2026-03-10,30,2026-03-14,2026-03-15,DELIVERED,7383.78
ORD0179,P006,S017,2025-05-07,72,2025-05-12,,IN_TRANSIT,4310.65
ORD0180,P011,S033,2026-05-28,39,2026-06-05,,IN_TRANSIT,6977.28
ORD0181,P009,S026,2025-08-07,282,2025-08-12,,IN_TRANSIT,5371.77
ORD0182,P011,S033,2025-03-06,91,2025-03-14,2025-03-20,DELAYED,6977.28
ORD0183,P017,S049,2026-03-11,226,2026-03-17,2026-03-16,DELIVERED,4247.59
ORD0184,P017,S050,2025-01-31,185,2025-02-07,2025-02-10,DELAYED,4223.28
ORD0185,P001,S002,2026-04-08,220,2026-04-18,2026-04-20,DELAYED,63026.29
ORD0186,P010,S029,2026-01-20,122,2026-01-25,,IN_TRANSIT,2995.73
ORD0187,P001,S001,2026-05-25,262,2026-05-30,2026-05-29,DELIVERED,62605.11
ORD0188,P018,S052,2026-07-04,192,2026-07-06,2026-07-09,DELAYED,2167.73
ORD0189,P015,S044,2026-04-16,205,2026-04-20,2026-04-20,DELIVERED,3790.06
ORD0190,P012,S034,2025-09-21,42,2025-09-26,2025-09-30,DELAYED,1471.61
ORD0191,P008,S023,2025-07-17,106,2025-07-23,,PENDING,933.47
ORD0192,P009,S025,2025-09-11,120,2025-09-18,,IN_TRANSIT,5058.6
ORD0193,P001,S002,2026-02-07,289,2026-02-17,2026-02-17,DELIVERED,63026.29
ORD0194,P008,S023,2025-08-12,284,2025-08-18,2025-08-20,DELAYED,933.47
ORD0195,P006,S018,2025-11-28,156,2025-12-02,,SHIPPED,4095.0
ORD0196,P003,S007,2025-06-30,262,2025-07-09,2025-07-11,DELAYED,52496.35
ORD0197,P013,S038,2026-01-22,148,2026-01-27,2026-01-28,DELIVERED,7565.69
ORD0198,P012,S036,2026-02-21,267,2026-02-27,2026-03-06,DELAYED,1401.38
ORD0199,P013,S038,2026-06-12,107,2026-06-17,,IN_TRANSIT,7565.69
ORD0200,P017,S051,2026-01-01,181,2026-01-08,2026-01-08,DELIVERED,4224.75
ORD0201,P016,S048,2025-02-24,68,2025-03-03,2025-03-04,DELIVERED,7081.66
ORD0202,P007,S021,2026-03-08,48,2026-03-11,,IN_TRANSIT,1845.5
ORD0203,P008,S023,2026-05-24,26,2026-05-30,,PENDING,933.47
ORD0204,P011,S033,2025-12-11,177,2025-12-19,,IN_TRANSIT,6977.28
ORD0205,P014,S040,2025-12-11,73,2025-12-15,,IN_TRANSIT,4290.4
ORD0206,P009,S025,2025-04-02,162,2025-04-09,2025-04-09,DELIVERED,5058.6
ORD0207,P018,S053,2026-03-05,58,2026-03-08,2026-03-08,DELIVERED,2125.76
ORD0208,P001,S002,2025-11-09,83,2025-11-19,2025-11-20,DELIVERED,63026.29
ORD0209,P006,S018,2025-06-09,201,2025-06-13,2025-06-15,DELAYED,4095.0
ORD0210,P009,S025,2025-02-04,63,2025-02-11,,PENDING,5058.6
ORD0211,P001,S001,2025-04-22,82,2025-04-27,2025-04-29,DELAYED,62605.11
ORD0212,P012,S035,2025-02-05,174,2025-02-10,2025-02-10,DELIVERED,1490.56
ORD0213,P018,S052,2025-04-15,234,2025-04-17,2025-04-17,DELIVERED,2167.73
ORD0214,P017,S050,2025-02-05,290,2025-02-12,2025-02-11,DELIVERED,4223.28
ORD0215,P013,S039,2025-08-20,189,2025-08-28,,IN_TRANSIT,7599.24
ORD0216,P004,S010,2026-08-16,271,2026-08-24,2026-08-24,DELIVERED,18600.17
ORD0217,P007,S021,2025-10-26,159,2025-10-29,,IN_TRANSIT,1845.5
ORD0218,P011,S032,2026-03-03,210,2026-03-11,2026-03-14,DELAYED,6623.11
ORD0219,P010,S030,2026-05-21,233,2026-05-25,2026-05-28,DELAYED,3043.46
ORD0220,P011,S032,2026-07-02,149,2026-07-10,,IN_TRANSIT,6623.11
ORD0221,P019,S056,2026-05-26,88,2026-06-01,2026-05-31,DELIVERED,2552.44
ORD0222,P012,S036,2025-02-14,81,2025-02-20,,PENDING,1401.38
ORD0223,P003,S007,2026-01-28,31,2026-02-06,2026-02-06,DELIVERED,52496.35
ORD0224,P014,S040,2026-06-15,174,2026-06-19,,PENDING,4290.4
ORD0225,P019,S057,2026-03-23,263,2026-03-26,,SHIPPED,2566.54
ORD0226,P016,S046,2026-03-20,82,2026-03-25,2026-03-28,DELAYED,7414.89
ORD0227,P002,S004,2025-05-16,258,2025-05-21,,IN_TRANSIT,56077.74
ORD0228,P008,S022,2026-03-27,248,2026-04-01,,IN_TRANSIT,956.41
ORD0229,P012,S036,2026-01-05,246,2026-01-11,2026-01-15,DELAYED,1401.38
ORD0230,P008,S023,2025-04-17,116,2025-04-23,,IN_TRANSIT,933.47
ORD0231,P013,S037,2026-04-01,67,2026-04-05,2026-04-05,DELIVERED,7913.48
ORD0232,P006,S017,2026-01-02,123,2026-01-07,,IN_TRANSIT,4310.65
ORD0233,P006,S016,2025-05-19,136,2025-05-24,2025-05-29,DELAYED,4294.61
ORD0234,P006,S018,2026-08-12,61,2026-08-16,2026-08-21,DELAYED,4095.0
ORD0235,P019,S055,2025-07-25,259,2025-07-30,,IN_TRANSIT,2611.87
ORD0236,P020,S060,2025-09-13,252,2025-09-21,,PENDING,5177.5
ORD0237,P005,S015,2026-05-05,201,2026-05-09,2026-05-09,DELIVERED,10293.92
ORD0238,P003,S009,2025-12-01,286,2025-12-09,,IN_TRANSIT,52407.86
ORD0239,P005,S013,2025-01-24,261,2025-01-31,2025-01-31,DELIVERED,10648.34
ORD0240,P017,S051,2026-08-09,148,2026-08-16,,SHIPPED,4224.75
ORD0241,P015,S044,2026-07-22,192,2026-07-26,2026-07-25,DELIVERED,3790.06
ORD0242,P015,S045,2025-09-24,196,2025-10-03,2025-10-04,DELIVERED,3693.04
ORD0243,P007,S021,2025-10-08,63,2025-10-11,2025-10-11,DELIVERED,1845.5
ORD0244,P007,S019,2026-02-22,173,2026-02-27,,IN_TRANSIT,1831.12
ORD0245,P006,S017,2026-07-11,185,2026-07-16,2026-07-16,DELIVERED,4310.65
ORD0246,P019,S056,2026-02-13,253,2026-02-19,2026-02-18,DELIVERED,2552.44
ORD0247,P013,S039,2025-09-30,255,2025-10-08,2025-10-07,DELIVERED,7599.24
ORD0248,P011,S031,2026-01-15,28,2026-01-20,2026-01-20,DELIVERED,6910.39
ORD0249,P011,S032,2025-01-13,83,2025-01-21,,IN_TRANSIT,6623.11
ORD0250,P001,S002,2025-11-27,206,2025-12-07,,SHIPPED,63026.29
ORD0251,P002,S006,2025-10-12,265,2025-10-18,2025-10-23,DELAYED,58804.45
ORD0252,P003,S007,2025-05-16,138,2025-05-25,,SHIPPED,52496.35
ORD0253,P006,S016,2026-07-24,260,2026-07-29,2026-07-29,DELIVERED,4294.61
ORD0254,P016,S048,2026-02-15,285,2026-02-22,,IN_TRANSIT,7081.66
ORD0255,P014,S042,2025-09-17,97,2025-09-25,2025-09-30,DELAYED,4070.82
ORD0256,P012,S034,2025-08-06,51,2025-08-11,2025-08-15,DELAYED,1471.61
ORD0257,P010,S029,2026-04-28,61,2026-05-03,,SHIPPED,2995.73
ORD0258,P015,S045,2025-09-17,69,2025-09-26,,IN_TRANSIT,3693.04
ORD0259,P017,S049,2026-03-09,269,2026-03-15,2026-03-15,DELIVERED,4247.59
ORD0260,P017,S051,2026-08-02,221,2026-08-09,2026-08-09,DELIVERED,4224.75
ORD0261,P004,S011,2026-03-19,27,2026-03-23,2026-03-24,DELIVERED,19128.36
ORD0262,P001,S003,2025-09-18,165,2025-09-23,2025-09-23,DELIVERED,61661.14
ORD0263,P018,S052,2025-08-22,195,2025-08-24,2025-08-23,DELIVERED,2167.73
ORD0264,P002,S006,2026-03-03,261,2026-03-09,2026-03-09,DELIVERED,58804.45
ORD0265,P014,S042,2025-01-26,146,2025-02-03,,PENDING,4070.82
ORD0266,P009,S027,2026-01-11,133,2026-01-19,2026-01-18,DELIVERED,5324.37
ORD0267,P015,S044,2025-07-13,163,2025-07-17,2025-07-17,DELIVERED,3790.06
ORD0268,P005,S014,2026-05-07,161,2026-05-10,,PENDING,10525.09
ORD0269,P005,S014,2025-03-29,92,2025-04-01,2025-04-03,DELAYED,10525.09
ORD0270,P008,S024,2025-07-25,50,2025-07-31,2025-08-04,DELAYED,962.08
ORD0271,P008,S024,2026-06-23,48,2026-06-29,2026-06-30,DELIVERED,962.08
ORD0272,P002,S006,2026-07-08,271,2026-07-14,,IN_TRANSIT,58804.45
ORD0273,P007,S020,2026-04-10,172,2026-04-13,2026-04-13,DELIVERED,1862.66
ORD0274,P014,S041,2025-01-19,32,2025-01-25,2025-01-25,DELIVERED,4177.53
ORD0275,P015,S044,2025-09-30,195,2025-10-04,,PENDING,3790.06
ORD0276,P017,S050,2026-01-31,57,2026-02-07,2026-02-13,DELAYED,4223.28
ORD0277,P009,S026,2025-05-14,35,2025-05-19,,IN_TRANSIT,5371.77
ORD0278,P005,S014,2025-10-29,294,2025-11-01,2025-11-06,DELAYED,10525.09
ORD0279,P017,S051,2025-05-13,35,2025-05-20,2025-05-21,DELIVERED,4224.75
ORD0280,P005,S013,2025-12-24,119,2025-12-31,,IN_TRANSIT,10648.34
ORD0281,P012,S034,2025-11-22,96,2025-11-27,2025-11-26,DELIVERED,1471.61
ORD0282,P011,S032,2025-07-13,295,2025-07-21,2025-07-22,DELIVERED,6623.11
ORD0283,P002,S004,2025-08-28,24,2025-09-02,2025-09-02,DELIVERED,56077.74
ORD0284,P004,S011,2025-12-19,258,2025-12-23,2025-12-23,DELIVERED,19128.36
ORD0285,P003,S009,2025-12-14,172,2025-12-22,,IN_TRANSIT,52407.86
ORD0286,P015,S045,2025-06-05,117,2025-06-14,2025-06-16,DELAYED,3693.04
ORD0287,P010,S029,2025-11-08,74,2025-11-13,2025-11-17,DELAYED,2995.73
ORD0288,P002,S005,2026-03-31,55,2026-04-08,2026-04-08,DELIVERED,56864.99
ORD0289,P017,S051,2025-07-24,196,2025-07-31,2025-07-31,DELIVERED,4224.75
ORD0290,P014,S041,2025-09-10,204,2025-09-16,2025-09-16,DELIVERED,4177.53
ORD0291,P013,S037,2026-01-12,294,2026-01-16,2026-01-17,DELIVERED,7913.48
ORD0292,P018,S054,2025-11-27,173,2025-12-03,,SHIPPED,2062.69
ORD0293,P014,S040,2025-07-02,20,2025-07-06,,IN_TRANSIT,4290.4
ORD0294,P019,S057,2025-08-25,165,2025-08-28,2025-09-02,DELAYED,2566.54
ORD0295,P016,S047,2025-08-06,253,2025-08-10,2025-08-10,DELIVERED,7383.78
ORD0296,P004,S012,2026-05-04,220,2026-05-09,2026-05-09,DELIVERED,18675.71
ORD0297,P009,S026,2025-07-25,90,2025-07-30,,IN_TRANSIT,5371.77
ORD0298,P010,S028,2025-03-27,266,2025-04-03,2025-04-03,DELIVERED,3108.55
ORD0299,P012,S035,2026-01-07,81,2026-01-12,2026-01-12,DELIVERED,1490.56
ORD0300,P018,S054,2026-06-05,188,2026-06-11,2026-06-10,DELIVERED,2062.69
ORD0301,P018,S054,2025-07-05,27,2025-07-11,2025-07-13,DELAYED,2062.69
ORD0302,P001,S002,2025-04-22,48,2025-05-02,2025-05-02,DELIVERED,63026.29
ORD0303,P008,S022,2026-08-20,40,2026-08-25,2026-08-24,DELIVERED,956.41
ORD0304,P020,S059,2026-08-20,35,2026-08-24,,SHIPPED,5357.71
ORD0305,P008,S024,2026-08-05,159,2026-08-11,2026-08-17,DELAYED,962.08
ORD0306,P008,S023,2025-11-09,20,2025-11-15,2025-11-16,DELIVERED,933.47
ORD0307,P002,S004,2026-03-10,20,2026-03-15,,SHIPPED,56077.74
