inventory_id,snapshot_date,product_id,opening_stock,units_received,units_sold,closing_stock,reserved_stock
343,2025-12-09,P001,107,0,24,83,1
344,2025-12-10,P001,83,140,23,200,10
345,2025-12-11,P001,200,0,22,178,10
346,2025-12-12,P001,178,0,24,154,1
347,2025-12-13,P001,154,0,17,137,10
348,2025-12-14,P001,137,0,16,121,13
349,2025-12-15,P001,121,0,21,100,5
350,2025-12-16,P001,100,90,27,163,12
351,2025-12-17,P001,163,0,24,139,14
352,2025-12-18,P001,139,0,25,114,11
353,2025-12-19,P001,114,0,26,88,0
354,2025-12-20,P001,88,94,19,163,6
355,2025-12-21,P001,163,0,19,144,14
356,2025-12-22,P001,144,0,23,121,1
357,2025-12-23,P001,121,0,22,99,14
358,2025-12-24,P001,99,0,23,76,2
359,2025-12-25,P001,76,101,24,153,0
360,2025-12-26,P001,153,0,22,131,3
361,2025-12-27,P001,131,0,22,109,7
362,2025-12-28,P001,109,0,23,86,8
363,2025-12-29,P001,86,0,22,64,9
364,2025-12-30,P001,64,102,24,142,2
365,2025-12-31,P001,142,0,25,117,9
366,2026-01-01,P001,117,0,19,98,0
367,2026-01-02,P001,98,102,20,180,9
368,2026-01-03,P001,180,0,24,156,15
369,2026-01-04,P001,156,0,17,139,13
370,2026-01-05,P001,139,0,17,122,6
371,2026-01-06,P001,122,0,19,103,11
372,2026-01-07,P001,103,0,20,83,14
373,2026-01-08,P001,83,0,22,61,5
374,2026-01-09,P001,61,100,22,139,15
375,2026-01-10,P001,139,0,23,116,7
376,2026-01-11,P001,116,0,16,100,7
377,2026-01-12,P001,100,81,26,155,7
378,2026-01-13,P001,155,0,28,127,9
379,2026-01-14,P001,127,0,26,101,10
380,2026-01-15,P001,101,0,17,84,9
381,2026-01-16,P001,84,144,18,210,9
382,2026-01-17,P001,210,0,15,195,7
383,2026-01-18,P001,195,0,13,182,5
384,2026-01-19,P001,182,0,17,165,2
385,2026-01-20,P001,165,0,17,148,1
386,2026-01-21,P001,148,0,20,128,10
387,2026-01-22,P001,128,0,22,106,9
388,2026-01-23,P001,106,0,24,82,12
389,2026-01-24,P001,82,93,20,155,15
390,2026-01-25,P001,155,0,16,139,14
391,2026-01-26,P001,139,0,18,121,6
392,2026-01-27,P001,121,0,22,99,1
393,2026-01-28,P001,99,0,16,83,15
394,2026-01-29,P001,83,80,26,137,2
395,2026-01-30,P001,137,0,24,113,8
396,2026-01-31,P001,113,0,17,96,12
397,2026-02-01,P001,96,0,14,82,14
398,2026-02-02,P001,82,139,24,197,0
399,2026-02-03,P001,197,0,19,178,11
400,2026-02-04,P001,178,0,24,154,3
401,2026-02-05,P001,154,0,15,139,2
402,2026-02-06,P001,139,0,19,120,1
403,2026-02-07,P001,120,0,19,101,6
404,2026-02-08,P001,101,0,19,82,11
405,2026-02-09,P001,82,100,26,156,10
406,2026-02-10,P001,156,0,22,134,15
407,2026-02-11,P001,134,0,18,116,12
408,2026-02-12,P001,116,0,18,98,4
409,2026-02-13,P001,98,84,21,161,4
410,2026-02-14,P001,161,0,18,143,0
411,2026-02-15,P001,143,0,20,123,11
412,2026-02-16,P001,123,0,17,106,14
413,2026-02-17,P001,106,0,15,91,10
414,2026-02-18,P001,91,83,24,150,1
415,2026-02-19,P001,150,0,21,129,8
416,2026-02-20,P001,129,0,19,110,9
417,2026-02-21,P001,110,0,21,89,8
418,2026-02-22,P001,89,134,19,204,12
419,2026-02-23,P001,204,0,23,181,7
420,2026-02-24,P001,181,0,21,160,1
421,2026-02-25,P001,160,0,24,136,11
422,2026-02-26,P001,136,0,23,113,14
423,2026-02-27,P001,113,0,19,94,5
424,2026-02-28,P001,94,135,20,209,4
425,2026-03-01,P001,209,0,20,189,5
426,2026-03-02,P001,189,0,23,166,0
427,2026-03-03,P001,166,0,18,148,5
428,2026-03-04,P001,148,0,29,119,3
429,2026-03-05,P001,119,0,25,94,14
430,2026-03-06,P001,94,102,17,179,6
431,2026-03-07,P001,179,0,16,163,0
432,2026-03-08,P001,163,0,14,149,10
433,2026-03-09,P001,149,0,19,130,6
434,2026-03-10,P001,130,0,23,107,14
435,2026-03-11,P001,107,0,26,81,0
436,2026-03-12,P001,81,109,20,170,15
437,2026-03-13,P001,170,0,27,143,12
438,2026-03-14,P001,143,0,15,128,0
439,2026-03-15,P001,128,0,14,114,14
440,2026-03-16,P001,114,0,21,93,5
441,2026-03-17,P001,93,107,23,177,4
442,2026-03-18,P001,177,0,20,157,8
443,2026-03-19,P001,157,0,16,141,6
444,2026-03-20,P001,141,0,22,119,4
445,2026-03-21,P001,119,0,17,102,7
446,2026-03-22,P001,102,141,23,220,11
447,2026-03-23,P001,220,0,35,185,13
448,2026-03-24,P001,185,0,17,168,15
449,2026-03-25,P001,168,0,44,124,15
450,2026-03-26,P001,124,0,19,105,8
451,2026-03-27,P001,105,0,21,84,12
452,2026-03-28,P001,84,121,21,184,6
453,2026-03-29,P001,184,0,16,168,5
454,2026-03-30,P001,168,0,22,146,8
455,2026-03-31,P001,146,0,23,123,3
456,2026-04-01,P001,123,0,21,102,9
457,2026-04-02,P001,102,0,22,80,9
458,2026-04-03,P001,80,84,20,144,15
459,2026-04-04,P001,144,0,19,125,14
460,2026-04-05,P001,125,0,17,108,11
461,2026-04-06,P001,108,0,27,81,15
462,2026-04-07,P001,81,0,20,61,9
463,2026-04-08,P001,61,124,21,164,10
464,2026-04-09,P001,164,0,23,141,14
465,2026-04-10,P001,141,0,22,119,11
466,2026-04-11,P001,119,0,19,100,12
467,2026-04-12,P001,100,0,19,81,9
468,2026-04-13,P001,81,102,25,158,8
469,2026-04-14,P001,158,0,20,138,4
470,2026-04-15,P001,138,0,19,119,14
471,2026-04-16,P001,119,0,20,99,7
472,2026-04-17,P001,99,0,15,84,8
473,2026-04-18,P001,84,96,15,165,11
474,2026-04-19,P001,165,0,23,142,2
475,2026-04-20,P001,142,0,26,116,12
476,2026-04-21,P001,116,0,21,95,11
477,2026-04-22,P001,95,142,21,216,6
478,2026-04-23,P001,216,0,22,194,10
479,2026-04-24,P001,194,0,30,164,3
480,2026-04-25,P001,164,0,20,144,2
481,2026-04-26,P001,144,0,19,125,14
482,2026-04-27,P001,125,0,19,106,15
483,2026-04-28,P001,106,0,16,90,12
484,2026-04-29,P001,90,88,23,155,8
485,2026-04-30,P001,155,0,20,135,9
486,2026-05-01,P001,135,0,17,118,15
487,2026-05-02,P001,118,0,16,102,15
488,2026-05-03,P001,102,0,16,86,14
489,2026-05-04,P001,86,132,24,194,6
490,2026-05-05,P001,194,0,21,173,14
491,2026-05-06,P001,173,0,22,151,2
492,2026-05-07,P001,151,0,22,129,0
493,2026-05-08,P001,129,0,19,110,6
494,2026-05-09,P001,110,0,16,94,2
495,2026-05-10,P001,94,136,21,209,5
496,2026-05-11,P001,209,0,26,183,15
497,2026-05-12,P001,183,0,18,165,15
498,2026-05-13,P001,165,0,20,145,13
499,2026-05-14,P001,145,0,19,126,1
500,2026-05-15,P001,126,0,18,108,13
501,2026-05-16,P001,108,0,21,87,12
502,2026-05-17,P001,87,116,21,182,5
503,2026-05-18,P001,182,0,16,166,0
504,2026-05-19,P001,166,0,27,139,10
505,2026-05-20,P001,139,0,20,119,0
506,2026-05-21,P001,119,0,20,99,10
507,2026-05-22,P001,99,117,24,192,12
508,2026-05-23,P001,192,0,15,177,5
509,2026-05-24,P001,177,0,17,160,4
510,2026-05-25,P001,160,0,18,142,2
511,2026-05-26,P001,142,0,19,123,12
512,2026-05-27,P001,123,0,20,103,6
513,2026-05-28,P001,103,0,23,80,8
514,2026-05-29,P001,80,122,18,184,2
515,2026-05-30,P001,184,0,17,167,12
516,2026-05-31,P001,167,0,19,148,10
517,2026-06-01,P001,148,0,20,128,3
518,2026-06-02,P001,128,0,18,110,11
519,2026-06-03,P001,110,0,19,91,7
520,2026-06-04,P001,91,88,23,156,9
521,2026-06-05,P001,156,0,16,140,2
522,2026-06-06,P001,140,0,18,122,7
523,2026-06-07,P001,122,0,17,105,4
524,2026-06-08,P001,105,0,21,84,15
525,2026-06-09,P001,84,135,18,201,13
526,2026-06-10,P001,201,0,15,186,10
527,2026-06-11,P001,186,0,15,171,3
528,2026-06-12,P001,171,0,21,150,8
529,2026-06-13,P001,150,0,19,131,13
530,2026-06-14,P001,131,0,16,115,13
531,2026-06-15,P001,115,0,21,94,1
532,2026-06-16,P001,94,93,16,171,15
533,2026-06-17,P001,171,0,23,148,0
534,2026-06-18,P001,148,0,19,129,11
535,2026-06-19,P001,129,0,19,110,7
536,2026-06-20,P001,110,0,21,89,13
537,2026-06-21,P001,89,93,15,167,10
538,2026-06-22,P001,167,0,21,146,11
539,2026-06-23,P001,146,0,21,125,5
540,2026-06-24,P001,125,0,18,107,5
541,2026-06-25,P001,107,0,21,86,12
542,2026-06-26,P001,86,97,17,166,8
543,2026-06-27,P001,166,0,20,146,12
544,2026-06-28,P001,146,0,22,124,11
545,2026-06-29,P001,124,0,15,109,10
546,2026-06-30,P001,109,0,20,89,4
547,2026-07-01,P001,89,126,23,192,15
548,2026-07-02,P001,192,0,20,172,14
549,2026-07-03,P001,172,0,20,152,6
550,2026-07-04,P001,152,0,23,129,10
551,2026-07-05,P001,129,0,16,113,3
552,2026-07-06,P001,113,0,19,94,12
553,2026-07-07,P001,94,97,22,169,0
554,2026-07-08,P001,169,0,23,146,5
555,2026-07-09,P001,146,0,22,124,5
556,2026-07-10,P001,124,0,18,106,14
557,2026-07-11,P001,106,0,22,84,3
558,2026-07-12,P001,84,90,17,157,1
559,2026-07-13,P001,157,0,23,134,1
560,2026-07-14,P001,134,0,18,116,4
561,2026-07-15,P001,116,0,23,93,2
562,2026-07-16,P001,93,86,27,152,1
563,2026-07-17,P001,152,0,21,131,8
564,2026-07-18,P001,131,0,16,115,14
565,2026-07-19,P001,115,0,20,95,10
566,2026-07-20,P001,95,122,23,194,11
567,2026-07-21,P001,194,0,17,177,14
568,2026-07-22,P001,177,0,18,159,15
569,2026-07-23,P001,159,0,17,142,7
570,2026-07-24,P001,142,0,20,122,9
571,2026-07-25,P001,122,0,20,102,6
572,2026-07-26,P001,102,0,22,80,4
573,2026-07-27,P001,80,109,24,165,2
574,2026-07-28,P001,165,0,19,146,6
575,2026-07-29,P001,146,0,22,124,4
576,2026-07-30,P001,124,0,15,109,2
577,2026-07-31,P001,109,0,22,87,7
578,2026-08-01,P001,87,113,23,177,7
579,2026-08-02,P001,177,0,19,158,11
580,2026-08-03,P001,158,0,27,131,0
581,2026-08-04,P001,131,0,31,100,8
582,2026-08-05,P001,100,143,25,218,6
583,2026-08-06,P001,218,0,28,190,4
584,2026-08-07,P001,190,0,34,156,14
585,2026-08-08,P001,156,0,20,136,10
586,2026-08-09,P001,136,0,24,112,8
587,2026-08-10,P001,112,0,23,89,10
588,2026-08-11,P001,89,140,21,208,3
589,2026-08-12,P001,208,0,26,182,6
590,2026-08-13,P001,182,0,21,161,14
591,2026-08-14,P001,161,0,27,134,1
592,2026-08-15,P001,134,0,22,112,4
593,2026-08-16,P001,112,0,24,88,8
594,2026-08-17,P001,88,0,26,62,12
595,2026-08-18,P001,62,0,31,31,8
596,2026-08-19,P001,31,83,22,92,1
597,2026-08-20,P001,92,83,22,153,9
598,2026-08-21,P001,153,0,23,130,14
599,2025-01-01,P002,137,0,57,80,6
600,2025-01-02,P002,80,0,82,0,0
601,2025-01-03,P002,0,124,65,124,13
602,2025-01-04,P002,124,0,47,77,9
603,2025-01-05,P002,77,91,58,110,15
604,2025-01-06,P002,110,87,70,127,8
605,2025-01-07,P002,127,94,63,158,7
606,2025-01-08,P002,158,0,79,79,2
607,2025-01-09,P002,79,103,55,127,8
608,2025-01-10,P002,127,0,51,76,4
609,2025-01-11,P002,76,72,42,106,5
610,2025-01-12,P002,106,107,62,151,7
611,2025-01-13,P002,151,0,65,86,1
612,2025-01-14,P002,86,75,60,101,2
613,2025-01-15,P002,101,72,62,111,5
614,2025-01-16,P002,111,0,52,59,2
615,2025-01-17,P002,59,76,78,76,4
616,2025-01-18,P002,76,102,66,112,11
617,2025-01-19,P002,112,94,54,152,8
618,2025-01-20,P002,152,0,65,87,1
619,2025-01-21,P002,87,123,64,146,3
620,2025-01-22,P002,146,0,62,84,12
621,2025-01-23,P002,84,80,55,109,7
622,2025-01-24,P002,109,70,64,115,14
623,2025-01-25,P002,115,93,65,143,2
624,2025-01-26,P002,143,0,62,81,1
625,2025-01-27,P002,81,83,94,83,5
626,2025-01-28,P002,83,116,57,142,13
627,2025-01-29,P002,142,0,53,89,0
628,2025-01-30,P002,89,88,73,104,14
629,2025-01-31,P002,104,88,61,131,7
630,2025-02-01,P002,131,99,79,151,8
631,2025-02-02,P002,151,0,42,109,9
632,2025-02-03,P002,109,110,72,147,7
