forecast_id,product_id,forecast_date,target_date,predicted_demand,lower_bound,upper_bound,model_name,model_version
97,P007,2026-08-21,2026-09-03,44.18,36.63,51.73,XGBoost-Demand-v1,1.0.0
98,P007,2026-08-21,2026-09-04,44.31,36.76,51.86,XGBoost-Demand-v1,1.0.0
99,P008,2026-08-21,2026-08-22,131.92,106.01,157.83,XGBoost-Demand-v1,1.0.0
100,P008,2026-08-21,2026-08-23,132.31,106.41,158.22,XGBoost-Demand-v1,1.0.0
101,P008,2026-08-21,2026-08-24,132.71,106.8,158.62,XGBoost-Demand-v1,1.0.0
102,P008,2026-08-21,2026-08-25,133.1,107.2,159.01,XGBoost-Demand-v1,1.0.0
103,P008,2026-08-21,2026-08-26,133.5,107.59,159.4,XGBoost-Demand-v1,1.0.0
104,P008,2026-08-21,2026-08-27,133.89,107.99,159.8,XGBoost-Demand-v1,1.0.0
105,P008,2026-08-21,2026-08-28,134.29,108.38,160.19,XGBoost-Demand-v1,1.0.0
106,P008,2026-08-21,2026-08-29,134.68,108.78,160.59,XGBoost-Demand-v1,1.0.0
107,P008,2026-08-21,2026-08-30,135.08,109.17,160.98,XGBoost-Demand-v1,1.0.0
108,P008,2026-08-21,2026-08-31,135.47,109.56,161.38,XGBoost-Demand-v1,1.0.0
109,P008,2026-08-21,2026-09-01,135.87,109.96,161.77,XGBoost-Demand-v1,1.0.0
110,P008,2026-08-21,2026-09-02,136.26,110.35,162.17,XGBoost-Demand-v1,1.0.0
111,P008,2026-08-21,2026-09-03,136.65,110.75,162.56,XGBoost-Demand-v1,1.0.0
112,P008,2026-08-21,2026-09-04,137.05,111.14,162.96,XGBoost-Demand-v1,1.0.0
113,P009,2026-08-21,2026-08-22,41.6,33.62,49.58,XGBoost-Demand-v1,1.0.0
114,P009,2026-08-21,2026-08-23,41.73,33.75,49.71,XGBoost-Demand-v1,1.0.0
115,P009,2026-08-21,2026-08-24,41.85,33.87,49.83,XGBoost-Demand-v1,1.0.0
116,P009,2026-08-21,2026-08-25,41.98,34.0,49.95,XGBoost-Demand-v1,1.0.0
117,P009,2026-08-21,2026-08-26,42.1,34.12,50.08,XGBoost-Demand-v1,1.0.0
118,P009,2026-08-21,2026-08-27,42.22,34.24,50.2,XGBoost-Demand-v1,1.0.0
119,P009,2026-08-21,2026-08-28,42.35,34.37,50.33,XGBoost-Demand-v1,1.0.0
120,P009,2026-08-21,2026-08-29,42.47,34.49,50.45,XGBoost-Demand-v1,1.0.0
121,P009,2026-08-21,2026-08-30,42.6,34.62,50.58,XGBoost-Demand-v1,1.0.0
122,P009,2026-08-21,2026-08-31,42.72,34.74,50.7,XGBoost-Demand-v1,1.0.0
123,P009,2026-08-21,2026-09-01,42.85,34.87,50.83,XGBoost-Demand-v1,1.0.0
124,P009,2026-08-21,2026-09-02,42.97,34.99,50.95,XGBoost-Demand-v1,1.0.0
125,P009,2026-08-21,2026-09-03,43.09,35.12,51.07,XGBoost-Demand-v1,1.0.0
126,P009,2026-08-21,2026-09-04,43.22,35.24,51.2,XGBoost-Demand-v1,1.0.0
127,P010,2026-08-21,2026-08-22,59.69,48.28,71.1,XGBoost-Demand-v1,1.0.0
128,P010,2026-08-21,2026-08-23,59.87,48.46,71.27,XGBoost-Demand-v1,1.0.0
129,P010,2026-08-21,2026-08-24,60.04,48.64,71.45,XGBoost-Demand-v1,1.0.0
130,P010,2026-08-21,2026-08-25,60.22,48.82,71.63,XGBoost-Demand-v1,1.0.0
131,P010,2026-08-21,2026-08-26,60.4,48.99,71.81,XGBoost-Demand-v1,1.0.0
132,P010,2026-08-21,2026-08-27,60.58,49.17,71.99,XGBoost-Demand-v1,1.0.0
133,P010,2026-08-21,2026-08-28,60.76,49.35,72.17,XGBoost-Demand-v1,1.0.0
134,P010,2026-08-21,2026-08-29,60.94,49.53,72.35,XGBoost-Demand-v1,1.0.0
135,P010,2026-08-21,2026-08-30,61.12,49.71,72.52,XGBoost-Demand-v1,1.0.0
136,P010,2026-08-21,2026-08-31,61.29,49.89,72.7,XGBoost-Demand-v1,1.0.0
137,P010,2026-08-21,2026-09-01,61.47,50.07,72.88,XGBoost-Demand-v1,1.0.0
138,P010,2026-08-21,2026-09-02,61.65,50.24,73.06,XGBoost-Demand-v1,1.0.0
139,P010,2026-08-21,2026-09-03,61.83,50.42,73.24,XGBoost-Demand-v1,1.0.0
140,P010,2026-08-21,2026-09-04,62.01,50.6,73.42,XGBoost-Demand-v1,1.0.0
141,P011,2026-08-21,2026-08-22,45.95,36.48,55.41,XGBoost-Demand-v1,1.0.0
142,P011,2026-08-21,2026-08-23,46.08,36.62,55.54,XGBoost-Demand-v1,1.0.0
143,P011,2026-08-21,2026-08-24,46.22,36.76,55.68,XGBoost-Demand-v1,1.0.0
144,P011,2026-08-21,2026-08-25,46.36,36.9,55.82,XGBoost-Demand-v1,1.0.0
145,P011,2026-08-21,2026-08-26,46.5,37.03,55.96,XGBoost-Demand-v1,1.0.0
146,P011,2026-08-21,2026-08-27,46.63,37.17,56.09,XGBoost-Demand-v1,1.0.0
147,P011,2026-08-21,2026-08-28,46.77,37.31,56.23,XGBoost-Demand-v1,1.0.0
148,P011,2026-08-21,2026-08-29,46.91,37.45,56.37,XGBoost-Demand-v1,1.0.0
149,P011,2026-08-21,2026-08-30,47.04,37.58,56.51,XGBoost-Demand-v1,1.0.0
150,P011,2026-08-21,2026-08-31,47.18,37.72,56.64,XGBoost-Demand-v1,1.0.0
151,P011,2026-08-21,2026-09-01,47.32,37.86,56.78,XGBoost-Demand-v1,1.0.0
152,P011,2026-08-21,2026-09-02,47.46,38.0,56.92,XGBoost-Demand-v1,1.0.0
153,P011,2026-08-21,2026-09-03,47.59,38.13,57.06,XGBoost-Demand-v1,1.0.0
154,P011,2026-08-21,2026-09-04,47.73,38.27,57.19,XGBoost-Demand-v1,1.0.0
155,P012,2026-08-21,2026-08-22,136.0,107.63,164.38,XGBoost-Demand-v1,1.0.0
156,P012,2026-08-21,2026-08-23,136.41,108.03,164.78,XGBoost-Demand-v1,1.0.0
157,P012,2026-08-21,2026-08-24,136.82,108.44,165.19,XGBoost-Demand-v1,1.0.0
158,P012,2026-08-21,2026-08-25,137.22,108.85,165.6,XGBoost-Demand-v1,1.0.0
159,P012,2026-08-21,2026-08-26,137.63,109.25,166.0,XGBoost-Demand-v1,1.0.0
160,P012,2026-08-21,2026-08-27,138.04,109.66,166.41,XGBoost-Demand-v1,1.0.0
161,P012,2026-08-21,2026-08-28,138.44,110.07,166.82,XGBoost-Demand-v1,1.0.0
162,P012,2026-08-21,2026-08-29,138.85,110.48,167.22,XGBoost-Demand-v1,1.0.0
163,P012,2026-08-21,2026-08-30,139.26,110.88,167.63,XGBoost-Demand-v1,1.0.0
164,P012,2026-08-21,2026-08-31,139.66,111.29,168.04,XGBoost-Demand-v1,1.0.0
165,P012,2026-08-21,2026-09-01,140.07,111.7,168.44,XGBoost-Demand-v1,1.0.0
166,P012,2026-08-21,2026-09-02,140.48,112.1,168.85,XGBoost-Demand-v1,1.0.0
167,P012,2026-08-21,2026-09-03,140.88,112.51,169.26,XGBoost-Demand-v1,1.0.0
168,P012,2026-08-21,2026-09-04,141.29,112.92,169.66,XGBoost-Demand-v1,1.0.0
169,P013,2026-08-21,2026-08-22,34.37,27.41,41.34,XGBoost-Demand-v1,1.0.0
170,P013,2026-08-21,2026-08-23,34.48,27.51,41.44,XGBoost-Demand-v1,1.0.0
171,P013,2026-08-21,2026-08-24,34.58,27.61,41.55,XGBoost-Demand-v1,1.0.0
172,P013,2026-08-21,2026-08-25,34.68,27.72,41.65,XGBoost-Demand-v1,1.0.0
173,P013,2026-08-21,2026-08-26,34.79,27.82,41.75,XGBoost-Demand-v1,1.0.0
174,P013,2026-08-21,2026-08-27,34.89,27.92,41.86,XGBoost-Demand-v1,1.0.0
175,P013,2026-08-21,2026-08-28,34.99,28.02,41.96,XGBoost-Demand-v1,1.0.0
176,P013,2026-08-21,2026-08-29,35.09,28.13,42.06,XGBoost-Demand-v1,1.0.0
177,P013,2026-08-21,2026-08-30,35.2,28.23,42.16,XGBoost-Demand-v1,1.0.0
178,P013,2026-08-21,2026-08-31,35.3,28.33,42.27,XGBoost-Demand-v1,1.0.0
179,P013,2026-08-21,2026-09-01,35.4,28.44,42.37,XGBoost-Demand-v1,1.0.0
180,P013,2026-08-21,2026-09-02,35.51,28.54,42.47,XGBoost-Demand-v1,1.0.0
181,P013,2026-08-21,2026-09-03,35.61,28.64,42.58,XGBoost-Demand-v1,1.0.0
182,P013,2026-08-21,2026-09-04,35.71,28.74,42.68,XGBoost-Demand-v1,1.0.0
183,P014,2026-08-21,2026-08-22,97.4,72.91,121.88,XGBoost-Demand-v1,1.0.0
184,P014,2026-08-21,2026-08-23,97.69,73.2,122.17,XGBoost-Demand-v1,1.0.0
185,P014,2026-08-21,2026-08-24,97.98,73.49,122.47,XGBoost-Demand-v1,1.0.0
186,P014,2026-08-21,2026-08-25,98.27,73.78,122.76,XGBoost-Demand-v1,1.0.0
187,P014,2026-08-21,2026-08-26,98.56,74.07,123.05,XGBoost-Demand-v1,1.0.0
188,P014,2026-08-21,2026-08-27,98.85,74.36,123.34,XGBoost-Demand-v1,1.0.0
189,P014,2026-08-21,2026-08-28,99.14,74.65,123.63,XGBoost-Demand-v1,1.0.0
190,P014,2026-08-21,2026-08-29,99.43,74.95,123.92,XGBoost-Demand-v1,1.0.0
191,P014,2026-08-21,2026-08-30,99.73,75.24,124.21,XGBoost-Demand-v1,1.0.0
192,P014,2026-08-21,2026-08-31,100.02,75.53,124.51,XGBoost-Demand-v1,1.0.0
193,P014,2026-08-21,2026-09-01,100.31,75.82,124.8,XGBoost-Demand-v1,1.0.0
194,P014,2026-08-21,2026-09-02,100.6,76.11,125.09,XGBoost-Demand-v1,1.0.0
195,P014,2026-08-21,2026-09-03,100.89,76.4,125.38,XGBoost-Demand-v1,1.0.0
196,P014,2026-08-21,2026-09-04,101.18,76.69,125.67,XGBoost-Demand-v1,1.0.0
197,P015,2026-08-21,2026-08-22,67.36,55.92,78.81,XGBoost-Demand-v1,1.0.0
198,P015,2026-08-21,2026-08-23,67.57,56.12,79.01,XGBoost-Demand-v1,1.0.0
199,P015,2026-08-21,2026-08-24,67.77,56.32,79.21,XGBoost-Demand-v1,1.0.0
200,P015,2026-08-21,2026-08-25,67.97,56.52,79.41,XGBoost-Demand-v1,1.0.0
201,P015,2026-08-21,2026-08-26,68.17,56.72,79.62,XGBoost-Demand-v1,1.0.0
202,P015,2026-08-21,2026-08-27,68.37,56.93,79.82,XGBoost-Demand-v1,1.0.0
203,P015,2026-08-21,2026-08-28,68.57,57.13,80.02,XGBoost-Demand-v1,1.0.0
204,P015,2026-08-21,2026-08-29,68.77,57.33,80.22,XGBoost-Demand-v1,1.0.0
205,P015,2026-08-21,2026-08-30,68.98,57.53,80.42,XGBoost-Demand-v1,1.0.0
206,P015,2026-08-21,2026-08-31,69.18,57.73,80.62,XGBoost-Demand-v1,1.0.0
207,P015,2026-08-21,2026-09-01,69.38,57.93,80.83,XGBoost-Demand-v1,1.0.0
208,P015,2026-08-21,2026-09-02,69.58,58.13,81.03,XGBoost-Demand-v1,1.0.0
209,P015,2026-08-21,2026-09-03,69.78,58.34,81.23,XGBoost-Demand-v1,1.0.0
210,P015,2026-08-21,2026-09-04,69.98,58.54,81.43,XGBoost-Demand-v1,1.0.0
211,P016,2026-08-21,2026-08-22,32.99,27.19,38.79,XGBoost-Demand-v1,1.0.0
212,P016,2026-08-21,2026-08-23,33.09,27.29,38.89,XGBoost-Demand-v1,1.0.0
213,P016,2026-08-21,2026-08-24,33.19,27.39,38.98,XGBoost-Demand-v1,1.0.0
214,P016,2026-08-21,2026-08-25,33.29,27.49,39.08,XGBoost-Demand-v1,1.0.0
215,P016,2026-08-21,2026-08-26,33.38,27.59,39.18,XGBoost-Demand-v1,1.0.0
216,P016,2026-08-21,2026-08-27,33.48,27.68,39.28,XGBoost-Demand-v1,1.0.0
217,P016,2026-08-21,2026-08-28,33.58,27.78,39.38,XGBoost-Demand-v1,1.0.0
218,P016,2026-08-21,2026-08-29,33.68,27.88,39.48,XGBoost-Demand-v1,1.0.0
219,P016,2026-08-21,2026-08-30,33.78,27.98,39.58,XGBoost-Demand-v1,1.0.0
220,P016,2026-08-21,2026-08-31,33.88,28.08,39.68,XGBoost-Demand-v1,1.0.0
221,P016,2026-08-21,2026-09-01,33.98,28.18,39.77,XGBoost-Demand-v1,1.0.0
222,P016,2026-08-21,2026-09-02,34.07,28.28,39.87,XGBoost-Demand-v1,1.0.0
223,P016,2026-08-21,2026-09-03,34.17,28.38,39.97,XGBoost-Demand-v1,1.0.0
224,P016,2026-08-21,2026-09-04,34.27,28.47,40.07,XGBoost-Demand-v1,1.0.0
225,P017,2026-08-21,2026-08-22,44.6,35.06,54.14,XGBoost-Demand-v1,1.0.0
226,P017,2026-08-21,2026-08-23,44.73,35.19,54.27,XGBoost-Demand-v1,1.0.0
227,P017,2026-08-21,2026-08-24,44.86,35.33,54.4,XGBoost-Demand-v1,1.0.0
228,P017,2026-08-21,2026-08-25,45.0,35.46,54.54,XGBoost-Demand-v1,1.0.0
229,P017,2026-08-21,2026-08-26,45.13,35.59,54.67,XGBoost-Demand-v1,1.0.0
230,P017,2026-08-21,2026-08-27,45.26,35.73,54.8,XGBoost-Demand-v1,1.0.0
231,P017,2026-08-21,2026-08-28,45.4,35.86,54.94,XGBoost-Demand-v1,1.0.0
232,P017,2026-08-21,2026-08-29,45.53,35.99,55.07,XGBoost-Demand-v1,1.0.0
233,P017,2026-08-21,2026-08-30,45.66,36.13,55.2,XGBoost-Demand-v1,1.0.0
234,P017,2026-08-21,2026-08-31,45.8,36.26,55.34,XGBoost-Demand-v1,1.0.0
235,P017,2026-08-21,2026-09-01,45.93,36.39,55.47,XGBoost-Demand-v1,1.0.0
236,P017,2026-08-21,2026-09-02,46.06,36.53,55.6,XGBoost-Demand-v1,1.0.0
237,P017,2026-08-21,2026-09-03,46.2,36.66,55.74,XGBoost-Demand-v1,1.0.0
238,P017,2026-08-21,2026-09-04,46.33,36.79,55.87,XGBoost-Demand-v1,1.0.0
239,P018,2026-08-21,2026-08-22,46.73,35.0,58.46,XGBoost-Demand-v1,1.0.0
240,P018,2026-08-21,2026-08-23,46.87,35.14,58.6,XGBoost-Demand-v1,1.0.0
241,P018,2026-08-21,2026-08-24,47.01,35.28,58.74,XGBoost-Demand-v1,1.0.0
242,P018,2026-08-21,2026-08-25,47.15,35.42,58.88,XGBoost-Demand-v1,1.0.0
243,P018,2026-08-21,2026-08-26,47.29,35.56,59.02,XGBoost-Demand-v1,1.0.0
244,P018,2026-08-21,2026-08-27,47.43,35.7,59.16,XGBoost-Demand-v1,1.0.0
245,P018,2026-08-21,2026-08-28,47.57,35.84,59.3,XGBoost-Demand-v1,1.0.0
246,P018,2026-08-21,2026-08-29,47.71,35.98,59.44,XGBoost-Demand-v1,1.0.0
247,P018,2026-08-21,2026-08-30,47.85,36.12,59.58,XGBoost-Demand-v1,1.0.0
248,P018,2026-08-21,2026-08-31,47.99,36.26,59.72,XGBoost-Demand-v1,1.0.0
249,P018,2026-08-21,2026-09-01,48.13,36.4,59.86,XGBoost-Demand-v1,1.0.0
250,P018,2026-08-21,2026-09-02,48.27,36.54,60.0,XGBoost-Demand-v1,1.0.0
251,P018,2026-08-21,2026-09-03,48.41,36.68,60.14,XGBoost-Demand-v1,1.0.0
252,P018,2026-08-21,2026-09-04,48.55,36.82,60.28,XGBoost-Demand-v1,1.0.0
253,P019,2026-08-21,2026-08-22,84.21,70.04,98.39,XGBoost-Demand-v1,1.0.0
254,P019,2026-08-21,2026-08-23,84.47,70.29,98.64,XGBoost-Demand-v1,1.0.0
255,P019,2026-08-21,2026-08-24,84.72,70.54,98.89,XGBoost-Demand-v1,1.0.0
256,P019,2026-08-21,2026-08-25,84.97,70.79,99.15,XGBoost-Demand-v1,1.0.0
257,P019,2026-08-21,2026-08-26,85.22,71.05,99.4,XGBoost-Demand-v1,1.0.0
258,P019,2026-08-21,2026-08-27,85.47,71.3,99.65,XGBoost-Demand-v1,1.0.0
259,P019,2026-08-21,2026-08-28,85.73,71.55,99.9,XGBoost-Demand-v1,1.0.0
260,P019,2026-08-21,2026-08-29,85.98,71.8,100.15,XGBoost-Demand-v1,1.0.0
261,P019,2026-08-21,2026-08-30,86.23,72.05,100.41,XGBoost-Demand-v1,1.0.0
262,P019,2026-08-21,2026-08-31,86.48,72.31,100.66,XGBoost-Demand-v1,1.0.0
263,P019,2026-08-21,2026-09-01,86.73,72.56,100.91,XGBoost-Demand-v1,1.0.0
264,P019,2026-08-21,2026-09-02,86.99,72.81,101.16,XGBoost-Demand-v1,1.0.0
265,P019,2026-08-21,2026-09-03,87.24,73.06,101.41,XGBoost-Demand-v1,1.0.0
266,P019,2026-08-21,2026-09-04,87.49,73.31,101.67,XGBoost-Demand-v1,1.0.0
267,P020,2026-08-21,2026-08-22,43.36,32.07,54.65,XGBoost-Demand-v1,1.0.0
268,P020,2026-08-21,2026-08-23,43.49,32.2,54.78,XGBoost-Demand-v1,1.0.0
269,P020,2026-08-21,2026-08-24,43.62,32.33,54.91,XGBoost-Demand-v1,1.0.0
270,P020,2026-08-21,2026-08-25,43.75,32.46,55.04,XGBoost-Demand-v1,1.0.0
271,P020,2026-08-21,2026-08-26,43.88,32.59,55.17,XGBoost-Demand-v1,1.0.0
272,P020,2026-08-21,2026-08-27,44.01,32.72,55.3,XGBoost-Demand-v1,1.0.0
273,P020,2026-08-21,2026-08-28,44.14,32.85,55.43,XGBoost-Demand-v1,1.0.0
274,P020,2026-08-21,2026-08-29,44.27,32.98,55.56,XGBoost-Demand-v1,1.0.0
275,P020,2026-08-21,2026-08-30,44.4,33.11,55.69,XGBoost-Demand-v1,1.0.0
276,P020,2026-08-21,2026-08-31,44.53,33.24,55.82,XGBoost-Demand-v1,1.0.0
277,P020,2026-08-21,2026-09-01,44.66,33.37,55.95,XGBoost-Demand-v1,1.0.0
278,P020,2026-08-21,2026-09-02,44.79,33.5,56.08,XGBoost-Demand-v1,1.0.0
